"Year","GeoID","variable","value"
"2010","SI99","AsnAlnOrC",0
"2000","SI99","AsnAlnOrC",5
"2010","SI99","AsnAlone",0
"2000","SI99","AsnAlone",5
"2010","SI99","AsnInd",0
"2000","SI99","AsnInd",0
"2010","SI99","Bgldsh",0
"2000","SI99","Bgldsh",0
